expo,table,project,sponsors,link,category,special
1,50,The Bona Fide Club,"Domain.com, Twilio, IBM Watson",http://disruptsf2016.devpost.com/submissions/56832-the-bona-fide-club,,
1,51,Articulate: Speak Confidently,"Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56833-articulate-speak-confidently,,
1,52,Sherlock,"Domain.com, Twilio, Amazon Alexa, MapQuest, IBM Watson",http://disruptsf2016.devpost.com/submissions/56834-sherlock,,
1,53,E-Cycle,"US Department of Commerce, HERE, Braintree, Domain.com, Radix",http://disruptsf2016.devpost.com/submissions/56835-e-cycle,,
1,54,Alfred My Butler,"Radix, Amazon Alexa, IBM Watson",http://disruptsf2016.devpost.com/submissions/56836-alfred-my-butler,,
1,55,SafeZone,MapQuest,http://disruptsf2016.devpost.com/submissions/56837-safezone,,
1,56,Hitch,"Braintree, IBM Watson",http://disruptsf2016.devpost.com/submissions/56838-hitch,,
1,57,PokeTrump.club,Domain.com,http://disruptsf2016.devpost.com/submissions/56839-poketrump-club,,
1,58,Cats and More,"SAP Hybris, Radix",http://disruptsf2016.devpost.com/submissions/56840-cats-and-more,,
1,59,PepperPay,"SoftBank Robotics America, Braintree, IBM Watson",http://disruptsf2016.devpost.com/submissions/56841-pepperpay,,
1,60,SelenaHealth,"Amazon Alexa, IBM Watson",http://disruptsf2016.devpost.com/submissions/56842-selenahealth,,
1,61,Gamerholic,HERE,http://disruptsf2016.devpost.com/submissions/56843-gamerholic,,
1,62,Breedge,,http://disruptsf2016.devpost.com/submissions/56844-breedge,,
1,63,On The Fly,Panasonic Avionics,http://disruptsf2016.devpost.com/submissions/56845-on-the-fly,,
1,64,EasyP,"Verizon, Panasonic Avionics",http://disruptsf2016.devpost.com/submissions/56846-easyp,,
1,65,Networthy,,http://disruptsf2016.devpost.com/submissions/56847-networthy,,
1,66,Excuse Buddies,"HERE, Domain.com, Twilio, MapQuest",http://disruptsf2016.devpost.com/submissions/56848-excuse-buddies,,
1,67,Refugee Help (www.RefugeeHelp.Club),"Braintree, Twilio, MapQuest",http://disruptsf2016.devpost.com/submissions/56849-refugee-help-www-refugeehelp-club,,
1,68,AutoTrash - Cerberus,"Verizon, Radix",http://disruptsf2016.devpost.com/submissions/56851-autotrash-cerberus,,
1,69,Authorbase,TechCrunch/Crunchbase/WP data hack,http://disruptsf2016.devpost.com/submissions/56852-authorbase,,
1,70,Mochi,Radix,http://disruptsf2016.devpost.com/submissions/56853-mochi,,
1,71,BotMarket,"SoftBank Robotics America, Braintree",http://disruptsf2016.devpost.com/submissions/56854-botmarket,,
1,72,"I, Trainer",SoftBank Robotics America,http://disruptsf2016.devpost.com/submissions/56855-i-trainer,,
1,73,Home Guard,"US Department of Commerce, Verizon, Twilio",http://disruptsf2016.devpost.com/submissions/56856-home-guard,,
1,74,Memor,HERE,http://disruptsf2016.devpost.com/submissions/56857-memor,,
1,75,Dinosaurs in Space Who Know Shapes and Stuff,,http://disruptsf2016.devpost.com/submissions/56858-dinosaurs-in-space-who-know-shapes-and-stuff,,
1,76,Geo,"Esri, Domain.com",http://disruptsf2016.devpost.com/submissions/56859-geo,,
1,77,rightHERE,HERE,http://disruptsf2016.devpost.com/submissions/56860-righthere,,
1,78,Mantra,,http://disruptsf2016.devpost.com/submissions/56861-mantra,,
1,79,AirUp,"Panasonic Avionics, MapQuest",http://disruptsf2016.devpost.com/submissions/56862-airup,,
1,80,LocalSecrets.Club,"HERE, Braintree, Domain.com, Twilio",http://disruptsf2016.devpost.com/submissions/56863-localsecrets-club,,
1,81,Dooze,"Braintree, Domain.com, Twilio, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56864-dooze,,
1,82,TheHighFlyers,"Domain.com, Panasonic Avionics, MapQuest, IBM Watson",http://disruptsf2016.devpost.com/submissions/56865-thehighflyers,,
1,83,Siren,"HERE, Twilio, Amazon Alexa",http://disruptsf2016.devpost.com/submissions/56866-siren,,
1,84,AutismSolutions.tech,"SoftBank Robotics America, Domain.com",http://disruptsf2016.devpost.com/submissions/56867-autismsolutions-tech,,
1,85,AdXpress,Radix,http://disruptsf2016.devpost.com/submissions/56868-adxpress,,
1,86,Safe Route,,http://disruptsf2016.devpost.com/submissions/56869-safe-route,,
1,87,VR-Yoga,,http://disruptsf2016.devpost.com/submissions/56870-vr-yoga,,
1,88,MapQuestAR,MapQuest,http://disruptsf2016.devpost.com/submissions/56871-mapquestar,,
1,89,Entreped.com,"Braintree, Twilio",http://disruptsf2016.devpost.com/submissions/56872-entreped-com,,
1,90,Split-A-Bility,Braintree,http://disruptsf2016.devpost.com/submissions/56873-split-a-bility,,
1,91,SeatSwap.club,"Braintree, Domain.com, Panasonic Avionics",http://disruptsf2016.devpost.com/submissions/56874-seatswap-club,,
1,92,EZCODE,"Twilio, Radix",http://disruptsf2016.devpost.com/submissions/56875-ezcode,,
1,93,Alexarm,"Verizon, Amazon Alexa, ZTE",http://disruptsf2016.devpost.com/submissions/56876-alexarm,,
1,94,Last Mile Club,"Domain.com, Panasonic Avionics, MapQuest, ZTE",http://disruptsf2016.devpost.com/submissions/56877-last-mile-club,,
1,95,Botswanna,"Twilio, Radix, IBM Watson",http://disruptsf2016.devpost.com/submissions/56878-botswanna,,
1,96,Imprompt.io,Amazon Alexa,http://disruptsf2016.devpost.com/submissions/56879-imprompt-io,,
1,97,thirsty,,http://disruptsf2016.devpost.com/submissions/56880-thirsty,,
1,98,Pulser,"Harman International: Best use of Everest Headphones SDK, Harman International: Best use of Pulse 2 SDk",http://disruptsf2016.devpost.com/submissions/56881-pulser,,
1,99,localet,"MapQuest, IBM Watson, ZTE",http://disruptsf2016.devpost.com/submissions/56882-localet,,
1,100,DisruptSFClink,TechCrunch/Crunchbase/WP data hack,http://disruptsf2016.devpost.com/submissions/56883-disruptsfclink,,
1,101,atlocal.space,"Panasonic Avionics, Esri, MapQuest, Radix",http://disruptsf2016.devpost.com/submissions/56884-atlocal-space,,
1,102,Dazzle me with d_—ÈData,"Harman International: Best use of Pulse 2 SDk, Verizon",http://disruptsf2016.devpost.com/submissions/56885-dazzle-me-with-d-data,,
1,103,Insight Playground,"Amazon Alexa, TechCrunch/Crunchbase/WP data hack, Esri, Domain.com",http://disruptsf2016.devpost.com/submissions/56886-insight-playground,,
1,104,Green Seed,"US Department of Commerce, ZTE, Esri",http://disruptsf2016.devpost.com/submissions/56887-green-seed,,
1,105,Meander,"HERE, Domain.com, MapQuest, Radix",http://disruptsf2016.devpost.com/submissions/56888-meander,,
1,106,skytap,,http://disruptsf2016.devpost.com/submissions/56889-skytap,,
1,107,Home Efficiency Genie by fenestra,US Department of Commerce,http://disruptsf2016.devpost.com/submissions/56890-home-efficiency-genie-by-fenestra,,
1,108,gaze,"SAP Hybris, Esri, Radix",http://disruptsf2016.devpost.com/submissions/56891-gaze,,
1,109,Women Lead Business,"TechCrunch/Crunchbase/WP data hack, Esri",http://disruptsf2016.devpost.com/submissions/56892-women-lead-business,,
1,110,WURQ.SPACE,"MapQuest, Radix",http://disruptsf2016.devpost.com/submissions/56893-wurq-space,,
1,111,Rescue.club ,"Harman International: Best use of Everest Headphones SDK, Amazon Alexa, ZTE, Cisco, IBM Watson, Harman International: Best use of Pulse 2 SDk, Verizon, Domain.com, Twilio, MapQuest, Radix",http://disruptsf2016.devpost.com/submissions/56894-rescue-club,,
1,112,heart engine (heartengine.ai),,http://disruptsf2016.devpost.com/submissions/56895-heart-engine-heartengine-ai,,
1,113,Helpvr,"HERE, Domain.com, Twilio",http://disruptsf2016.devpost.com/submissions/56896-helpvr,,
1,114,FactCrunch,"Amazon Alexa, IBM Watson, Radix",http://disruptsf2016.devpost.com/submissions/56897-factcrunch,,
1,115,Doctor Watson,"IBM Watson, Twilio",http://disruptsf2016.devpost.com/submissions/56898-doctor-watson,,
1,116,Wanderlust,"HERE, Radix",http://disruptsf2016.devpost.com/submissions/56899-wanderlust,,
1,117,globalconcierge.club,"Panasonic Avionics, HERE, IBM Watson, Domain.com, Twilio",http://disruptsf2016.devpost.com/submissions/56900-globalconcierge-club,,
1,118,HighStrit,"HERE, Esri, Domain.com, Twilio, Radix",http://disruptsf2016.devpost.com/submissions/56901-highstrit,,
1,119,RePeptionist,"IBM Watson, SoftBank Robotics America, Domain.com, MapQuest",http://disruptsf2016.devpost.com/submissions/56902-repeptionist,,
1,120,inFlightX,"Panasonic Avionics, MapQuest",http://disruptsf2016.devpost.com/submissions/56903-inflightx,,
1,121,Destinate,"IBM Watson, Radix",http://disruptsf2016.devpost.com/submissions/56904-destinate,,
1,122,Let's Debate ,Domain.com,http://disruptsf2016.devpost.com/submissions/56905-let-s-debate,,
1,123,DocOnline,"IBM Watson, Twilio, Radix",http://disruptsf2016.devpost.com/submissions/56906-doconline,,
1,124,Racoon,"Amazon Alexa, ZTE, IBM Watson, Radix",http://disruptsf2016.devpost.com/submissions/56907-racoon,,
1,125,Lynyo,HERE,http://disruptsf2016.devpost.com/submissions/56908-lynyo,,
1,126,Circle,"Cisco, Esri",http://disruptsf2016.devpost.com/submissions/56909-circle,,
1,127,CrunchLetter,TechCrunch/Crunchbase/WP data hack,http://disruptsf2016.devpost.com/submissions/56910-crunchletter,,
1,128,ContextBlast,"IBM Watson, TechCrunch/Crunchbase/WP data hack, Domain.com",http://disruptsf2016.devpost.com/submissions/56911-contextblast,,
1,129,Malaria Map,Esri,http://disruptsf2016.devpost.com/submissions/56912-malaria-map,,
1,130,CherFood,"MapQuest, Radix",http://disruptsf2016.devpost.com/submissions/56913-cherfood,,
1,131,Pulse Hero,Harman International: Best use of Pulse 2 SDk,http://disruptsf2016.devpost.com/submissions/56914-pulse-hero,,
1,132,Peppermap.club,"SoftBank Robotics America, Twilio, MapQuest",http://disruptsf2016.devpost.com/submissions/56915-peppermap-club,,
1,133,TextQuest,MapQuest,http://disruptsf2016.devpost.com/submissions/56916-textquest,,
1,134,Wander,"Esri, Verizon, Twilio, Radix",http://disruptsf2016.devpost.com/submissions/56917-wander,,
1,135,Pitchit.space ,,http://disruptsf2016.devpost.com/submissions/56918-pitchit-space,,
1,136,RestAnywhere.Club,"Domain.com, Braintree, MapQuest",http://disruptsf2016.devpost.com/submissions/56919-restanywhere-club,,
1,137,ASSSDK,,http://disruptsf2016.devpost.com/submissions/56920-asssdk,,
1,138,TravelQuest.HOST,"Twilio, MapQuest, Radix",http://disruptsf2016.devpost.com/submissions/56921-travelquest-host,,
1,139,Hologram-Recorder-Projection-Framework,Domain.com,http://disruptsf2016.devpost.com/submissions/56922-hologram-recorder-projection-framework,,
1,140,notibot,"MapQuest, Twilio",http://disruptsf2016.devpost.com/submissions/56923-notibot,,
1,141,NEXTDOORHELP,"Esri, Twilio, Domain.com, Radix, Braintree",http://disruptsf2016.devpost.com/submissions/56924-nextdoorhelp,,
1,142,curbstore,"MapQuest, Radix, Braintree",http://disruptsf2016.devpost.com/submissions/56925-curbstore,,
1,143,Guakbot,"MapQuest, Cisco, Braintree",http://disruptsf2016.devpost.com/submissions/56926-guakbot,,
1,144,Mr Robot,"Amazon Alexa, SoftBank Robotics America",http://disruptsf2016.devpost.com/submissions/56927-mr-robot,,
